hcp_id,display_name,speciality,country,postal_sector,active
HCP-000001,Synthetic Professional 0001,CARDIOLOGY,ZZ,ZZ001,True
HCP-000002,Synthetic Professional 0002,DERMATOLOGY,ZZ,ZZ002,True
HCP-000003,Synthetic Professional 0003,GENERAL,ZZ,ZZ003,True
HCP-000004,Synthetic Professional 0004,CARDIOLOGY,ZZ,ZZ004,True
HCP-000005,Synthetic Professional 0005,DERMATOLOGY,ZZ,ZZ005,True
HCP-000006,Synthetic Professional 0006,GENERAL,ZZ,ZZ006,True
HCP-000007,Synthetic Professional 0007,CARDIOLOGY,ZZ,ZZ007,True
HCP-000008,Synthetic Professional 0008,DERMATOLOGY,ZZ,ZZ008,True
HCP-000009,Synthetic Professional 0009,GENERAL,ZZ,ZZ009,True
HCP-000010,Synthetic Professional 0010,CARDIOLOGY,ZZ,ZZ010,True
HCP-000011,Synthetic Professional 0011,DERMATOLOGY,ZZ,ZZ011,True
HCP-000012,Synthetic Professional 0012,GENERAL,ZZ,ZZ012,True
HCP-000013,Synthetic Professional 0013,CARDIOLOGY,ZZ,ZZ013,True
HCP-000014,Synthetic Professional 0014,DERMATOLOGY,ZZ,ZZ014,True
HCP-000015,Synthetic Professional 0015,GENERAL,ZZ,ZZ015,True
HCP-000016,Synthetic Professional 0016,CARDIOLOGY,ZZ,ZZ016,True
HCP-000017,Synthetic Professional 0017,DERMATOLOGY,ZZ,ZZ017,True
HCP-000018,Synthetic Professional 0018,GENERAL,ZZ,ZZ018,True
HCP-000019,Synthetic Professional 0019,CARDIOLOGY,ZZ,ZZ019,True
HCP-000020,Synthetic Professional 0020,DERMATOLOGY,ZZ,ZZ000,True
HCP-000021,Synthetic Professional 0021,GENERAL,ZZ,ZZ001,True
HCP-000022,Synthetic Professional 0022,CARDIOLOGY,ZZ,ZZ002,True
HCP-000023,Synthetic Professional 0023,DERMATOLOGY,ZZ,ZZ003,True
HCP-000024,Synthetic Professional 0024,GENERAL,ZZ,ZZ004,True
HCP-000025,Synthetic Professional 0025,CARDIOLOGY,ZZ,ZZ005,True
HCP-000026,Synthetic Professional 0026,DERMATOLOGY,ZZ,ZZ006,True
HCP-000027,Synthetic Professional 0027,GENERAL,ZZ,ZZ007,True
HCP-000028,Synthetic Professional 0028,CARDIOLOGY,ZZ,ZZ008,True
HCP-000029,Synthetic Professional 0029,DERMATOLOGY,ZZ,ZZ009,True
HCP-000030,Synthetic Professional 0030,GENERAL,ZZ,ZZ010,True
HCP-000031,Synthetic Professional 0031,CARDIOLOGY,ZZ,ZZ011,True
HCP-000032,Synthetic Professional 0032,DERMATOLOGY,ZZ,ZZ012,True
HCP-000033,Synthetic Professional 0033,GENERAL,ZZ,ZZ013,True
HCP-000034,Synthetic Professional 0034,CARDIOLOGY,ZZ,ZZ014,True
HCP-000035,Synthetic Professional 0035,DERMATOLOGY,ZZ,ZZ015,True
HCP-000036,Synthetic Professional 0036,GENERAL,ZZ,ZZ016,True
HCP-000037,Synthetic Professional 0037,CARDIOLOGY,ZZ,ZZ017,True
HCP-000038,Synthetic Professional 0038,DERMATOLOGY,ZZ,ZZ018,True
HCP-000039,Synthetic Professional 0039,GENERAL,ZZ,ZZ019,True
HCP-000040,Synthetic Professional 0040,CARDIOLOGY,ZZ,ZZ000,True
HCP-000041,Synthetic Professional 0041,DERMATOLOGY,ZZ,ZZ001,True
HCP-000042,Synthetic Professional 0042,GENERAL,ZZ,ZZ002,True
HCP-000043,Synthetic Professional 0043,CARDIOLOGY,ZZ,ZZ003,True
HCP-000044,Synthetic Professional 0044,DERMATOLOGY,ZZ,ZZ004,True
HCP-000045,Synthetic Professional 0045,GENERAL,ZZ,ZZ005,True
HCP-000046,Synthetic Professional 0046,CARDIOLOGY,ZZ,ZZ006,True
HCP-000047,Synthetic Professional 0047,DERMATOLOGY,ZZ,ZZ007,True
HCP-000048,Synthetic Professional 0048,GENERAL,ZZ,ZZ008,True
HCP-000049,Synthetic Professional 0049,CARDIOLOGY,ZZ,ZZ009,True
HCP-000050,Synthetic Professional 0050,DERMATOLOGY,ZZ,ZZ010,True
HCP-000051,Synthetic Professional 0051,GENERAL,ZZ,ZZ011,True
HCP-000052,Synthetic Professional 0052,CARDIOLOGY,ZZ,ZZ012,True
HCP-000053,Synthetic Professional 0053,DERMATOLOGY,ZZ,ZZ013,True
HCP-000054,Synthetic Professional 0054,GENERAL,ZZ,ZZ014,True
HCP-000055,Synthetic Professional 0055,CARDIOLOGY,ZZ,ZZ015,True
HCP-000056,Synthetic Professional 0056,DERMATOLOGY,ZZ,ZZ016,True
HCP-000057,Synthetic Professional 0057,GENERAL,ZZ,ZZ017,True
HCP-000058,Synthetic Professional 0058,CARDIOLOGY,ZZ,ZZ018,True
HCP-000059,Synthetic Professional 0059,DERMATOLOGY,ZZ,ZZ019,True
HCP-000060,Synthetic Professional 0060,GENERAL,ZZ,ZZ000,True
HCP-000061,Synthetic Professional 0061,CARDIOLOGY,ZZ,ZZ001,True
HCP-000062,Synthetic Professional 0062,DERMATOLOGY,ZZ,ZZ002,True
HCP-000063,Synthetic Professional 0063,GENERAL,ZZ,ZZ003,True
HCP-000064,Synthetic Professional 0064,CARDIOLOGY,ZZ,ZZ004,True
HCP-000065,Synthetic Professional 0065,DERMATOLOGY,ZZ,ZZ005,True
